article_id,cause,effect,relation_type,polarity,confidence,evidence
article_06,AI인지적업무강점,정보처리추론의사결정업무대체가속,causes,negative,0.72,"AI의 대체 수준이 가장 높은 업무활동: 정보 및 데이터 처리(4.39점), 추론 및 의사결정(4.36점)"
article_07,챗GPT출시,글쓰기33%·번역19%·고객서비스16%감소,causes,negative,0.78,"가장 큰 감소세를 보인 3개 직종은 글쓰기(33%), 번역(19%), 고객 서비스(16%) 직종이었다"
article_08,AI확산으로단순업무자동화,글로벌기업66%초급채용3년내축소,causes,negative,0.78,전 세계 기업의 66%가 향후 3년간 초급 인력 채용을 줄일 계획이라고 발표했다
article_08,초급인력역할축소,학습형일자리감소+차세대리더육성어려움,causes,negative,0.75,전체 기업의 71%는 학습형 일자리 감소로 차세대 리더 육성이 어려워졌다고 답했다
article_09,GPT고관련성,번역가비서아나운서대체가능(9.8%),enables,negative,0.72,"대체 가능 일자리는 번역가, 통역가, 비서, 아나운서 및 리포터 등이 해당하는 것으로 분석됐다"
article_10,스타트업투자20%감소+글로벌테크한파,2024채용역대최저,causes,negative,0.8,2024년 한국 스타트업 투자는 전년 대비 약 20% 감소했다. 투자가 줄면 채용이 직격탄을 맞는다
article_10,AI가주니어업무대체,주니어채용51%감소,causes,negative,0.78,신입과 주니어 채용이 절반 가까이 사라졌다. 구조적으로는 AI가 주니어 업무를 대체하기 시작한 것
article_11,AI를자동화도구로사용,신입고용감소,causes,negative,0.65,AI를 인간 업무를 대신 처리하는 '자동화' 도구로 쓰는 직종에서는 신입 고용이 감소했다
article_11,AI를보완도구로사용,고용증가,enables,positive,0.6,학습·검증·협업을 돕는 '보완' 도구로 활용하는 직종에서는 고용이 오히려 증가하는 경향
article_12,챗GPT출시이후,회계경리·고객상담청년고용감소경향,contributes_to,negative,0.55,회계·경리 사무원과 고객 상담 요원 분야에서 청년 고용이 감소하는 경향이 관찰됐다
article_12,생성형AI확산,고노출직업고용감소(통계적미확인),not_confirmed,uncertain,0.3,생성형 AI 확산으로 AI 고노출 직업의 고용과 신규 인력 수요가 감소했다는 증거는 발견되지 않았다
article_13,코로나과잉채용정상화,빅테크개발자해고,causes,negative,0.65,"코로나19 시기 재택근무 확산으로 개발자를 과도하게 채용했고, 이후 정상화 과정에서 인력을 줄이면서 AI를 명분으로 활용"
article_13,기업원래채용축소경향,청년채용감소(AI워싱),causes,negative,0.6,"원래 기업들은 채용을 줄여왔는데, 지금은 'AI 때문에 채용을 안 한다'고 한다. 일종의 'AI 워싱'이다"
article_14,생성형AI업무활용,주당근로시간1.5시간단축,causes,positive,0.8,근로자의 평균 근로시간은 주 40시간 기준 1.5시간(3.8%) 줄었다
article_14,생성형AI활용,잠재적생산성향상1%,causes,positive,0.75,이를 반영한 잠재적 생산성 향상 효과는 1.0%로 추정됐다
article_15,AI+자동화로봇+산업침체,양질일자리감소,causes,negative,0.72,"AI·자동화로봇 등 첨단기술의 급속한 인력 대체, 제조업 등 양질의 일자리 감소"
article_15,고령화+세대간구직경쟁,청년고용률하락,contributes_to,negative,0.7,"인구구조 변화, 고령세대 재고용 및 정년연장에 따른 세대 간 일자리 충돌"
article_16,AI도입확산+경력직선호,25~29세신입진입장벽상승,causes,negative,0.75,IT 및 전문직 분야의 대규모 채용 감소가 AI 도입 확산과 무관하지 않다
article_16,구직자사상최대+장기구직,체감실업률17.4%,causes,negative,0.78,15~29세 고용보조지표3(확장실업률)은 17.4%로 공식 실업률의 두 배를 웃돌았다
article_17,ChatGPT등AI기술도입,IT신입채용5%감소,contributes_to,negative,0.68,AI 기술의 빠른 도입으로 기업들이 단순 업무 중심의 신입보다 고도화된 역량을 갖춘 인재를 선호
article_17,경기침체+업황둔화,건설업채용공고31%급감,causes,negative,0.75,"건설·토목 업계는 공고 수가 546건에서 374건으로 31% 급감, 경기 침체와 업황 둔화가 복합 작용"
article_18,AI도입생산성향상,산업규모성장→신규노동수요촉진,enables,positive,0.55,AI 도입으로 생산성 향상 → 산업 규모 성장 → 신규 노동수요 촉진 가능
article_19,AI기술채택확산,계산원회계데이터입력직2600만소멸전망,causes,negative,0.65,"계산원, 매표원, 데이터 입력 및 회계 직책에서 최대 2600만 개의 일자리가 사라질 것으로 예측"
article_19,AI기술채택확산,AI머신러닝전문가수요35%증가,causes,positive,0.7,AI·머신러닝 전문가 수요도 35% 이상 증가할 것으로 예측됐다
article_20,초급업무AI대체,신입채용감소+Z세대취업불안,causes,negative,0.75,"초급 업무가 AI로 대체되고, 중급 이상 숙련 인력에 대한 수요가 늘면서 Z세대는 불리한 위치에 놓였다"
article_20,초급인재파이프라인붕괴,장기적리더십공백,causes,negative,0.7,초급 직무를 없애면서 그 역할을 재정의하지 않는 기업은 중장기적으로는 위기를 맞게 될 것
